"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SEPTIN6",-0.541117600458762,7.59692578288774,-6.00389299068914,2.10829765087515e-07,0.00298830109035043,6.93623340533125
"DDX3Y",3.4424317717492,4.90881252658314,5.46061869317213,1.46165887068546e-06,0.00788562100627351,5.14469181143119
"AC006157.1",2.14512325043814,-0.326152920758485,5.419959970336,1.68737174106068e-06,0.00788562100627351,3.70284465832435
"BX890604.2",-1.00655718429599,3.05672905220709,-5.34142039633753,2.22537632461507e-06,0.00788562100627351,4.67100004998324
"PDGFD",1.91284257009746,-0.0947572584682465,5.22753028101174,3.31897363631472e-06,0.00879710696253386,3.27013991354513
"ZEB2",1.29666503223502,5.02854493804409,5.19462493707974,3.72390586815318e-06,0.00879710696253386,4.25565149158534
"GNLY",1.60124235938544,7.47000950359959,5.14823919886754,4.37870014421117e-06,0.00886624226343559,4.02424392025538
"RPS4Y1",3.2857483788419,7.70655087629478,5.06371149608741,5.87663085644986e-06,0.00938352930345935,3.74661579485401
"RASSF1",0.565940066414707,5.3959031311396,5.05974169456092,5.95821671589771e-06,0.00938352930345935,3.79773027998699
"PRKY",2.90482169066301,3.12833881478633,4.94589026480666,8.8370592169709e-06,0.0125256477341346,3.41474334427231
"CES1",1.5893677397183,1.47401522048396,4.91796749924319,9.73036958233688e-06,0.0125380234963675,3.0414412154074
"UTY",3.32168764120739,3.93544091148196,4.87758454529197,1.11813412614481e-05,0.0128485840520174,3.24695504148588
"IFNG",1.30567170083589,3.47172219982705,4.8509728397204,1.22516427470043e-05,0.0128485840520174,3.16274109507096
"APP",-0.610558650269658,3.98978182256071,-4.84070794516637,1.26908548559506e-05,0.0128485840520174,3.13297580507897
"SETBP1",1.50790745830957,0.815009241999032,4.81592087255344,1.38161954358351e-05,0.0130553836071685,2.54703195576533
"SELL",-0.799856747895687,6.86579258346522,-4.73330762945074,1.8321018017026e-05,0.016120797590651,2.67638735966733
"FAM241A",-0.589350574120384,2.95699848294403,-4.71748864695645,1.93349484295941e-05,0.016120797590651,2.72286683299627
"GZMB",1.80428298848161,4.7287937023253,4.67026343397904,2.27003670998207e-05,0.0167930517427309,2.57134968948524
"CCL3",1.57260847753983,1.36683703072036,4.66377023841511,2.320583921633e-05,0.0167930517427309,2.30022478241847
"ARHGAP8",1.37861620396352,0.320553636963179,4.64582279848251,2.46610310142455e-05,0.0167930517427309,1.92783370958206
"GALNT3",0.9551053137271,2.07743622898569,4.63306147546901,2.57497129525318e-05,0.0167930517427309,2.37027489239983
"PPP1R2C",-2.39870398036831,-0.347802277447619,-4.62946285642493,2.60651289925271e-05,0.0167930517427309,1.71742557858986
"GZMH",1.69148067993001,6.21476681872821,4.60126188944014,2.86714009589751e-05,0.017669062486631,2.2784542275139
"NKG7",1.39254700578552,7.83459592831071,4.54511182833762,3.46421660988685e-05,0.0198279243421054,2.03730527558861
"SLC1A7",1.89349172560656,-0.905944700527301,4.54228996753759,3.4972351386527e-05,0.0198279243421054,1.30562999301728
"AC103702.2",1.68507621736754,-1.06859313871382,4.51539712254566,3.82774638755478e-05,0.0208671066527698,1.21568428786331
"SMPD4",0.614845040461438,3.65173541683237,4.46751518334712,4.4933455998733e-05,0.0233549600221966,1.97218320587872
"EIF1AY",2.80510170961551,3.51143395839926,4.44305017595475,4.87578075195347e-05,0.0233549600221966,1.90132797735561
"TXK",-0.587221433608767,5.08076086180092,-4.42622563312584,5.15702797311829e-05,0.0233549600221966,1.78093102060769
"FGFBP2",1.89471729899704,5.14487206886198,4.42373187775873,5.20003951441438e-05,0.0233549600221966,1.77459375620936
"AGAP1",1.41172179727298,1.7055458541577,4.41128081641191,5.42008183844634e-05,0.0233549600221966,1.66314271058464
"ADGRG1",1.93043388723495,2.27790746582234,4.4105158503169,5.43389295270811e-05,0.0233549600221966,1.74196418258873
"MCTP2",0.552339597653597,2.94079529950592,4.41031542845031,5.43751714923444e-05,0.0233549600221966,1.79842805476844
"CMTM7",-0.468113098461913,5.33152709295688,-4.39182071170334,5.78229812635772e-05,0.023454966596205,1.65899208340806
"ORC6",0.890792658938138,1.98811516635535,4.39132854661162,5.79175836649621e-05,0.023454966596205,1.65557634118686
"C15orf40",-0.376953099079378,5.13415708329078,-4.36185704862762,6.38660926192243e-05,0.0251454999106913,1.57626532837955
"EFHD2",0.695850176885704,6.55483919773799,4.31768521595113,7.39112760880579e-05,0.0283140115478955,1.36100616572714
"CYSLTR1",-0.679636271426442,4.16407949018483,-4.30528703515251,7.69969826088038e-05,0.0287198745130838,1.45858855019566
"DZIP3",-0.786866469582105,3.84403979563548,-4.24951000349502,9.25007987963886e-05,0.0336181108241029,1.30715677079853
"USP9Y",3.12161299058894,4.18428748339085,4.20240440045965,0.000107923997740658,0.0379508666839432,1.16574725433678
"SLC51A",0.870694797649343,0.958653494999348,4.19719037377172,0.000109777447018602,0.0379508666839432,0.927118315253119
"TBX21",1.01672807250037,3.241715407207,4.17152993257958,0.000119358871847178,0.0402807773705213,1.091311248603
"FAM53C",0.604052331485293,4.0211432862414,4.15220667860904,0.000127105031328254,0.041204004597253,1.00038430869378
"FBXL16",-1.03680994029363,2.974859491313,-4.14542216451378,0.000129938764815566,0.041204004597253,1.01681661679462
"LINC00891",-1.34034799946226,1.78220544072087,-4.13605337762128,0.000133952848816667,0.041204004597253,0.901209922285396
"LRRFIP2",0.376376572376766,4.78051903951541,4.13185781543915,0.000135789203854028,0.041204004597253,0.89052471941363
"SYTL2",0.714874319430781,3.99184949624223,4.12979815599616,0.000136699608567338,0.041204004597253,0.935581071691081
"SYT11",0.472213612079417,3.95810687747164,4.1234640726372,0.000139536631908293,0.041204004597253,0.917893076329442
