"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SEPTIN6",-0.515421555459657,7.54360307841861,-5.59448280960935,8.29995358009604e-07,0.00751506197860052,5.59465115089259
"USP9Y",3.32990455305407,4.64661742587947,5.44484154798592,1.41974394700703e-06,0.00751506197860052,5.15759051203519
"CMTM7",-0.568837447290887,5.27597077264321,-5.41476594604508,1.58089796899247e-06,0.00751506197860052,5.05197682750436
"AL512625.3",1.44776865576177,-0.703887236717697,5.24847151295126,2.85760798146753e-06,0.00818298827791315,3.16048447845406
"PRKY",2.96746602094929,3.35163667188145,5.20498309142721,3.33361916325225e-06,0.00818298827791315,4.28492178104957
"DDX3Y",3.1599894178085,5.30108441945654,5.16584809531904,3.82833131917699e-06,0.00818298827791315,4.23216814590728
"UTY",3.44386041563425,4.1831996977539,5.15225159135473,4.01661299666167e-06,0.00818298827791315,4.17486261233474
"RPS4Y1",3.09862613949984,8.043126248656,4.84294154774513,1.18578435917022e-05,0.0211380884326581,3.04650707550474
"AGAP1",1.50243609258308,1.80081333310064,4.74044058479154,1.6898916215061e-05,0.0267772715714427,2.62486917151779
"MEST",-1.33278414931994,-0.633170264083569,-4.70242562073699,1.9259646683285e-05,0.0274661821350327,1.88839601634445
"MPI",-0.661069316780755,3.24155334353694,-4.63222855574124,2.44969506469272e-05,0.0310982866769408,2.5194832207118
"EIF1AY",2.86573257975616,3.75831871426399,4.5983146466544,2.75035638753085e-05,0.0310982866769408,2.4140790709467
"CES1",1.35483405341657,1.62099421473307,4.58183986922239,2.90915198046544e-05,0.0310982866769408,2.12071859596522
"SETBP1",1.62392667018412,0.477836426124449,4.56541118815387,3.0764166903371e-05,0.0310982866769408,1.78723367817103
"JPX",-0.419135764044472,6.5443752859503,-4.54736577140931,3.27097889456638e-05,0.0310982866769408,2.1173088107192
"PPP1R2C",-2.32110370691545,-0.40138437608069,-4.52271884626068,3.55625314736409e-05,0.0316261337412713,1.53998260241994
"TXK",-0.578507866755318,5.08525573248145,-4.49514283861613,3.90426512576918e-05,0.0316261337412713,2.03257863587688
"RAPGEF2",0.755950454155185,3.10928495652405,4.48858489587294,3.99179866308732e-05,0.0316261337412713,2.07315364582764
"RNF157",-0.744780938574567,3.76847791184025,-4.44937079716469,4.5566026885497e-05,0.0332428759656695,1.95302231466973
"STARD4",0.755137695415834,2.60287908998622,4.43247099835332,4.82338916047365e-05,0.0332428759656695,1.87813080980299
"DPEP2",-0.491903776343883,3.95908579408426,-4.42807949769852,4.89517141349877e-05,0.0332428759656695,1.88059053417865
"CD101",-1.32312312993208,0.641510226764664,-4.4141129267653,5.13045723283076e-05,0.033257022998818,1.48002550495915
"SIRPG",-0.875284173536639,4.20987686998355,-4.3330924709585,6.72893353272438e-05,0.0413350755775846,1.57769234973437
"EIF2AK3",0.795933483298856,2.56275843741377,4.31279067301512,7.19996060429145e-05,0.0413350755775846,1.52151333922078
